Institution_ID,Institution_Type,Region,Total_Students,Total_Teachers,Student_Teacher_Ratio,Total_Classrooms,Avg_Classroom_Capacity,Classroom_Utilization_Rate,Smart_Classrooms,Computer_Labs,Lab_Utilization_Rate,Digital_Learning_Tools,Internet_Bandwidth_Mbps,Library_Resources,Learning_Outcome_Index,Student_Engagement_Index,Teacher_Workload_Index,Infrastructure_Quality_Index,Resource_Utilization_Index,Operational_Cost_Per_Student,Resource_Wastage_Index,Resource_Allocation_Status
INS00001,Government-Aided,Urban,844,71,11.89,88,58,0.88,29,11,0.61,0.77,353,96224,0.69,0.6,0.74,0.68,0.92,4955,0.06,Moderately_Balanced
INS00002,Public,Rural,396,68,5.82,72,45,0.73,29,6,0.78,0.34,755,40743,0.48,0.7,0.48,0.43,0.83,3181,0.13,Needs_Improvement
INS00003,Government-Aided,Semi-Urban,1601,25,64.04,106,65,0.56,16,13,0.84,0.57,780,39580,0.55,0.63,0.52,0.63,0.87,2300,0.27,Moderately_Balanced
INS00004,Government-Aided,Urban,2356,142,16.59,34,46,0.72,59,1,0.82,0.29,234,56678,0.6,0.75,0.51,0.54,0.63,1621,0.17,Needs_Improvement
INS00005,Public,Rural,756,137,5.52,106,49,0.81,55,3,0.91,0.27,96,81935,0.69,0.5,0.51,0.52,0.63,1513,0.24,Needs_Improvement
INS00006,Public,Urban,2118,42,50.43,107,43,0.78,23,14,0.65,0.28,508,21390,0.7,0.48,0.56,0.55,0.83,2086,0.21,Needs_Improvement
INS00007,Government-Aided,Urban,572,129,4.43,86,35,0.57,30,7,0.47,0.78,250,9835,0.46,0.56,0.31,0.46,0.58,3100,0.32,Needs_Improvement
INS00008,Private,Urban,1331,63,21.13,97,51,0.47,27,7,0.74,0.56,69,13290,0.92,0.45,0.81,0.44,0.64,4435,0.14,Needs_Improvement
INS00009,Government-Aided,Rural,507,60,8.45,67,69,0.58,44,10,0.44,0.84,680,72026,0.72,0.53,0.83,0.73,0.67,4200,0.18,Moderately_Balanced
INS00010,Government-Aided,Semi-Urban,2237,69,32.42,99,38,0.94,42,13,0.91,0.46,126,81474,0.46,0.45,0.32,0.92,0.71,2791,0.07,Needs_Improvement
INS00011,Government-Aided,Semi-Urban,1960,71,27.61,96,61,0.54,3,12,0.79,0.79,451,107529,0.8,0.61,0.77,0.84,0.74,2392,0.29,Moderately_Balanced
INS00012,Government-Aided,Semi-Urban,1446,89,16.25,23,53,0.68,38,12,0.91,0.3,717,51404,0.49,0.78,0.34,0.86,0.76,4660,0.15,Moderately_Balanced
INS00013,Public,Urban,1356,128,10.59,18,62,0.77,18,13,0.6,0.69,818,33689,0.81,0.55,0.78,0.8,0.62,3834,0.27,Moderately_Balanced
INS00014,Government-Aided,Rural,1836,137,13.4,55,42,0.89,23,1,0.41,0.5,517,42582,0.8,0.4,0.67,0.93,0.53,3759,0.05,Moderately_Balanced
INS00015,Private,Urban,503,128,3.93,39,64,0.83,6,9,0.67,0.44,26,73751,0.94,0.7,0.48,0.92,0.9,1343,0.31,Highly_Balanced
INS00016,Public,Semi-Urban,2132,114,18.7,48,35,0.9,45,1,0.46,0.82,844,23699,0.62,0.77,0.67,0.83,0.85,3579,0.34,Moderately_Balanced
INS00017,Private,Semi-Urban,742,63,11.78,87,69,0.75,52,7,0.75,0.29,311,31987,0.52,0.61,0.6,0.79,0.35,2382,0.19,Needs_Improvement
INS00018,Private,Rural,988,86,11.49,23,59,0.88,47,12,0.66,0.91,998,68803,0.5,0.56,0.68,0.57,0.66,1399,0.19,Needs_Improvement
INS00019,Private,Urban,1132,86,13.16,96,67,0.58,52,12,0.79,0.8,361,109931,0.49,0.66,0.59,0.45,0.51,4155,0.23,Needs_Improvement
INS00020,Private,Semi-Urban,1761,37,47.59,89,45,0.67,8,2,0.55,0.5,299,109757,0.86,0.45,0.76,0.45,0.74,3127,0.34,Needs_Improvement
INS00021,Public,Rural,1459,79,18.47,27,30,0.87,21,9,0.83,0.94,555,100271,0.81,0.74,0.33,0.8,0.65,2492,0.22,Moderately_Balanced
INS00022,Public,Urban,686,93,7.38,116,47,0.61,53,12,0.74,0.39,331,60978,0.94,0.79,0.51,0.42,0.36,3110,0.07,Needs_Improvement
INS00023,Private,Urban,2341,68,34.43,23,51,0.89,1,12,0.91,0.53,744,42365,0.6,0.77,0.64,0.85,0.79,3398,0.22,Moderately_Balanced
INS00024,Private,Semi-Urban,1648,34,48.47,94,55,0.63,26,9,0.49,0.87,720,21021,0.85,0.57,0.65,0.6,0.52,4532,0.18,Needs_Improvement
INS00025,Public,Semi-Urban,2018,92,21.93,18,43,0.63,15,9,0.43,0.95,510,88971,0.5,0.85,0.4,0.51,0.51,2167,0.28,Needs_Improvement
INS00026,Public,Urban,979,67,14.61,48,66,0.6,4,4,0.84,0.42,96,42323,0.9,0.9,0.34,0.62,0.37,4530,0.14,Moderately_Balanced
INS00027,Public,Urban,989,91,10.87,21,43,0.72,11,6,0.58,0.77,143,45724,0.48,0.56,0.31,0.79,0.85,1838,0.33,Moderately_Balanced
INS00028,Government-Aided,Semi-Urban,1868,132,14.15,29,55,0.51,51,13,0.62,0.46,985,16226,0.84,0.54,0.55,0.55,0.7,4250,0.29,Moderately_Balanced
INS00029,Government-Aided,Urban,1469,148,9.93,52,65,0.47,25,12,0.88,0.79,303,105521,0.6,0.77,0.5,0.5,0.64,2676,0.15,Needs_Improvement
INS00030,Government-Aided,Semi-Urban,1192,72,16.56,89,52,0.9,14,2,0.63,0.34,691,110306,0.54,0.78,0.64,0.81,0.76,4057,0.16,Moderately_Balanced
INS00031,Private,Urban,1252,37,33.84,110,31,0.91,2,3,0.55,0.49,864,79335,0.8,0.67,0.57,0.88,0.56,4569,0.21,Moderately_Balanced
INS00032,Government-Aided,Semi-Urban,1554,31,50.13,105,68,0.49,8,6,0.43,0.3,501,48555,0.9,0.89,0.54,0.72,0.69,1480,0.08,Highly_Balanced
INS00033,Private,Rural,1083,67,16.16,108,36,0.72,58,1,0.63,0.59,243,92673,0.83,0.48,0.81,0.69,0.5,1807,0.26,Needs_Improvement
INS00034,Private,Semi-Urban,2346,49,47.88,66,68,0.72,27,7,0.74,0.74,777,47256,0.61,0.65,0.67,0.82,0.39,1791,0.23,Needs_Improvement
INS00035,Government-Aided,Semi-Urban,2171,116,18.72,95,51,0.64,38,2,0.54,0.52,97,44093,0.63,0.42,0.69,0.8,0.69,2298,0.15,Needs_Improvement
INS00036,Private,Rural,794,26,30.54,114,57,0.73,35,8,0.77,0.68,627,32089,0.54,0.43,0.53,0.4,0.48,3911,0.24,Needs_Improvement
INS00037,Government-Aided,Urban,1046,111,9.42,97,67,0.68,24,5,0.65,0.65,576,105698,0.86,0.43,0.77,0.56,0.8,3864,0.08,Moderately_Balanced
INS00038,Government-Aided,Rural,2154,132,16.32,21,49,0.69,40,7,0.85,0.46,88,81678,0.5,0.66,0.39,0.91,0.62,1799,0.34,Moderately_Balanced
INS00039,Public,Semi-Urban,2491,22,113.23,59,47,0.83,27,8,0.48,0.59,118,72445,0.9,0.71,0.54,0.93,0.5,3373,0.07,Moderately_Balanced
INS00040,Government-Aided,Urban,956,126,7.59,73,53,0.71,46,3,0.79,0.3,907,64816,0.75,0.4,0.33,0.68,0.72,1637,0.15,Needs_Improvement
INS00041,Public,Rural,2182,82,26.61,35,62,0.61,54,6,0.88,0.57,87,38637,0.74,0.74,0.37,0.71,0.42,2646,0.34,Moderately_Balanced
INS00042,Government-Aided,Urban,2096,121,17.32,42,55,0.74,20,12,0.79,0.57,97,86469,0.87,0.66,0.35,0.4,0.81,4587,0.17,Moderately_Balanced
INS00043,Government-Aided,Urban,567,34,16.68,17,48,0.77,28,9,0.61,0.27,165,73213,0.78,0.52,0.56,0.77,0.62,3628,0.32,Moderately_Balanced
INS00044,Public,Rural,2062,110,18.75,28,42,0.78,24,4,0.52,0.61,94,60635,0.6,0.41,0.72,0.52,0.84,1245,0.1,Needs_Improvement
INS00045,Public,Urban,2380,100,23.8,16,39,0.76,29,10,0.45,0.77,870,37866,0.62,0.48,0.49,0.47,0.43,3692,0.07,Needs_Improvement
INS00046,Government-Aided,Rural,676,80,8.45,43,43,0.78,38,7,0.73,0.57,533,52598,0.54,0.72,0.32,0.57,0.58,4701,0.08,Needs_Improvement
INS00047,Private,Semi-Urban,1885,139,13.56,32,38,0.61,56,1,0.47,0.7,918,83586,0.68,0.75,0.72,0.77,0.46,2117,0.34,Moderately_Balanced
INS00048,Public,Urban,1763,80,22.04,51,40,0.67,10,12,0.84,0.62,688,27041,0.51,0.74,0.42,0.64,0.39,1537,0.08,Needs_Improvement
INS00049,Private,Semi-Urban,788,72,10.94,59,32,0.78,18,7,0.9,0.8,106,42463,0.78,0.48,0.73,0.59,0.92,3712,0.25,Moderately_Balanced
INS00050,Private,Semi-Urban,1021,45,22.69,59,69,0.83,10,9,0.47,0.61,781,90783,0.53,0.88,0.3,0.8,0.79,1776,0.18,Moderately_Balanced
INS00051,Private,Urban,1245,134,9.29,38,41,0.67,24,10,0.6,0.48,67,86182,0.88,0.62,0.49,0.85,0.55,4923,0.31,Moderately_Balanced
INS00052,Public,Rural,2386,59,40.44,60,64,0.63,0,8,0.89,0.83,785,20130,0.8,0.81,0.67,0.88,0.5,2310,0.14,Moderately_Balanced
INS00053,Private,Urban,1935,107,18.08,26,68,0.81,31,4,0.64,0.3,596,75704,0.9,0.49,0.82,0.64,0.47,4023,0.06,Needs_Improvement
INS00054,Public,Semi-Urban,1340,135,9.93,67,68,0.56,20,3,0.68,0.45,61,87504,0.49,0.65,0.75,0.79,0.38,3600,0.27,Needs_Improvement
INS00055,Private,Semi-Urban,2414,40,60.35,59,61,0.45,44,7,0.79,0.66,153,51273,0.85,0.68,0.57,0.89,0.41,1467,0.23,Moderately_Balanced
