,Institution_ID,Institution_Type,Region,Total_Students,Total_Teachers,Student_Teacher_Ratio,Total_Classrooms,Avg_Classroom_Capacity,Classroom_Utilization_Rate,Smart_Classrooms,Computer_Labs,Lab_Utilization_Rate,Digital_Learning_Tools,Internet_Bandwidth_Mbps,Library_Resources,Learning_Outcome_Index,Student_Engagement_Index,Teacher_Workload_Index,Infrastructure_Quality_Index,Resource_Utilization_Index,Operational_Cost_Per_Student,Resource_Wastage_Index,Resource_Allocation_Status
0,INS00001,Government-Aided,Urban,844,71,11.89,88,58,0.88,29,11,0.61,0.77,353,96224,0.69,0.6,0.74,0.68,0.92,4955,0.06,Moderately_Balanced
1,INS00002,Public,Rural,396,68,5.82,72,45,0.73,29,6,0.78,0.34,755,40743,0.48,0.7,0.48,0.43,0.83,3181,0.13,Needs_Improvement
2,INS00003,Government-Aided,Semi-Urban,1601,25,64.04,106,65,0.56,16,13,0.84,0.57,780,39580,0.55,0.63,0.52,0.63,0.87,2300,0.27,Moderately_Balanced
3,INS00004,Government-Aided,Urban,2356,142,16.59,34,46,0.72,59,1,0.82,0.29,234,56678,0.6,0.75,0.51,0.54,0.63,1621,0.17,Needs_Improvement
4,INS00005,Public,Rural,756,137,5.52,106,49,0.81,55,3,0.91,0.27,96,81935,0.69,0.5,0.51,0.52,0.63,1513,0.24,Needs_Improvement
5,INS00006,Public,Urban,2118,42,50.43,107,43,0.78,23,14,0.65,0.28,508,21390,0.7,0.48,0.56,0.55,0.83,2086,0.21,Needs_Improvement
6,INS00007,Government-Aided,Urban,572,129,4.43,86,35,0.57,30,7,0.47,0.78,250,9835,0.46,0.56,0.31,0.46,0.58,3100,0.32,Needs_Improvement
7,INS00008,Private,Urban,1331,63,21.13,97,51,0.47,27,7,0.74,0.56,69,13290,0.92,0.45,0.81,0.44,0.64,4435,0.14,Needs_Improvement
8,INS00009,Government-Aided,Rural,507,60,8.45,67,69,0.58,44,10,0.44,0.84,680,72026,0.72,0.53,0.83,0.73,0.67,4200,0.18,Moderately_Balanced
9,INS00010,Government-Aided,Semi-Urban,2237,69,32.42,99,38,0.94,42,13,0.91,0.46,126,81474,0.46,0.45,0.32,0.92,0.71,2791,0.07,Needs_Improvement
10,INS00011,Government-Aided,Semi-Urban,1960,71,27.61,96,61,0.54,3,12,0.79,0.79,451,107529,0.8,0.61,0.77,0.84,0.74,2392,0.29,Moderately_Balanced
11,INS00012,Government-Aided,Semi-Urban,1446,89,16.25,23,53,0.68,38,12,0.91,0.3,717,51404,0.49,0.78,0.34,0.86,0.76,4660,0.15,Moderately_Balanced
12,INS00013,Public,Urban,1356,128,10.59,18,62,0.77,18,13,0.6,0.69,818,33689,0.81,0.55,0.78,0.8,0.62,3834,0.27,Moderately_Balanced
13,INS00014,Government-Aided,Rural,1836,137,13.4,55,42,0.89,23,1,0.41,0.5,517,42582,0.8,0.4,0.67,0.93,0.53,3759,0.05,Moderately_Balanced
14,INS00015,Private,Urban,503,128,3.93,39,64,0.83,6,9,0.67,0.44,26,73751,0.94,0.7,0.48,0.92,0.9,1343,0.31,Highly_Balanced
15,INS00016,Public,Semi-Urban,2132,114,18.7,48,35,0.9,45,1,0.46,0.82,844,23699,0.62,0.77,0.67,0.83,0.85,3579,0.34,Moderately_Balanced
16,INS00017,Private,Semi-Urban,742,63,11.78,87,69,0.75,52,7,0.75,0.29,311,31987,0.52,0.61,0.6,0.79,0.35,2382,0.19,Needs_Improvement
